Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
P1;18/09/2017;Portimonense;Feirense;2;1;H;2;1;H;12;5;7;1;18;13;7;4;2;3;0;0
P1;22/09/2017;Porto;Portimonense;5;2;H;3;1;H;16;9;9;6;13;9;5;4;2;2;0;0
P1;23/09/2017;Benfica;Pacos Ferreira;2;0;H;1;0;H;17;3;9;2;12;11;11;2;3;2;0;0
P1;23/09/2017;Estoril;Chaves;0;2;A;0;1;A;7;10;1;5;15;13;10;6;2;0;0;0
P1;23/09/2017;Moreirense;Sp Lisbon;1;1;D;1;0;H;11;5;6;1;25;15;3;8;3;4;0;0
P1;24/09/2017;Aves;Rio Ave;0;0;D;0;0;D;10;9;6;1;17;10;2;3;3;2;0;0
P1;24/09/2017;Feirense;Belenenses;1;4;A;0;3;A;7;14;3;7;17;15;8;1;1;3;0;0
P1;24/09/2017;Guimaraes;Maritimo;2;1;H;1;1;D;12;5;5;2;17;19;10;4;2;2;1;1
P1;24/09/2017;Tondela;Sp Braga;1;2;A;1;1;D;6;11;2;3;14;21;3;6;2;3;1;0
P1;25/09/2017;Setubal;Boavista;1;1;D;0;0;D;7;9;4;4;11;20;4;6;0;1;0;0
P1;29/09/2017;Chaves;Tondela;1;1;D;1;1;D;15;5;7;1;11;16;10;3;2;2;0;2
P1;30/09/2017;Boavista;Feirense;1;0;H;1;0;H;9;5;2;3;15;15;6;8;3;4;0;0
P1;30/09/2017;Pacos Ferreira;Moreirense;3;2;H;2;1;H;6;13;5;8;20;19;2;6;4;1;0;0
P1;30/09/2017;Portimonense;Aves;2;2;D;1;1;D;15;8;5;2;15;7;11;1;3;2;0;0
P1;30/09/2017;Rio Ave;Setubal;2;1;H;0;0;D;9;5;6;1;12;20;3;4;3;2;0;0
P1;01/10/2017;Belenenses;Guimaraes;1;0;H;1;0;H;4;8;2;2;15;15;1;11;4;1;0;0
P1;01/10/2017;Maritimo;Benfica;1;1;D;0;1;A;10;11;6;5;12;17;4;8;2;1;0;0
P1;01/10/2017;Sp Braga;Estoril;6;0;H;2;0;H;12;10;9;3;21;17;4;5;0;2;0;0
P1;01/10/2017;Sp Lisbon;Porto;0;0;D;0;0;D;3;9;1;6;13;17;10;2;2;3;0;0
P1;20/10/2017;Estoril;Boavista;0;3;A;0;2;A;11;9;4;6;15;13;11;2;2;4;0;0
P1;21/10/2017;Feirense;Rio Ave;1;0;H;1;0;H;6;6;2;3;18;12;5;5;5;5;1;2
P1;21/10/2017;Porto;Pacos Ferreira;6;1;H;4;1;H;17;6;12;3;12;20;6;2;2;4;0;0
P1;21/10/2017;Setubal;Maritimo;3;1;H;0;1;A;14;4;6;3;18;21;6;2;0;2;0;1
P1;22/10/2017;Aves;Benfica;1;3;A;0;1;A;8;17;3;12;7;18;5;10;1;3;0;0
P1;22/10/2017;Sp Lisbon;Chaves;5;1;H;3;0;H;8;7;5;2;15;11;4;4;1;1;0;0
P1;22/10/2017;Tondela;Belenenses;2;0;H;0;0;D;16;8;5;2;19;23;2;1;4;4;0;1
P1;23/10/2017;Guimaraes;Portimonense;3;3;D;1;3;A;14;8;8;6;16;18;8;3;1;2;0;0
P1;23/10/2017;Moreirense;Sp Braga;0;1;A;0;0;D;1;13;1;6;21;22;4;7;3;2;0;0
P1;27/10/2017;Benfica;Feirense;1;0;H;1;0;H;11;6;5;4;20;16;7;6;0;3;0;0
P1;27/10/2017;Rio Ave;Sp Lisbon;0;1;A;0;0;D;19;5;5;1;12;12;8;3;0;2;0;0
P1;28/10/2017;Belenenses;Moreirense;3;0;H;1;0;H;7;9;4;2;19;12;3;6;3;1;0;0
P1;28/10/2017;Boavista;Porto;0;3;A;0;0;D;6;12;1;6;18;19;7;5;6;5;0;0
P1;28/10/2017;Maritimo;Tondela;2;0;H;1;0;H;7;9;4;3;18;21;3;2;4;3;0;0
P1;29/10/2017;Aves;Guimaraes;1;3;A;1;2;A;12;9;4;5;18;12;6;1;1;2;0;0
P1;29/10/2017;Pacos Ferreira;Estoril;1;0;H;1;0;H;5;6;1;1;25;13;6;7;5;1;1;0
P1;29/10/2017;Sp Braga;Chaves;1;0;H;0;0;D;8;6;5;2;20;12;12;5;3;1;0;0
P1;30/10/2017;Portimonense;Setubal;5;2;H;3;1;H;13;7;11;4;23;9;4;2;3;3;0;1
P1;03/11/2017;Setubal;Aves;0;1;A;0;0;D;7;6;4;5;12;23;2;7;3;4;1;0
P1;04/11/2017;Estoril;Rio Ave;0;2;A;0;1;A;8;12;3;8;22;22;2;5;3;2;0;0
P1;04/11/2017;Moreirense;Portimonense;1;1;D;1;1;D;7;12;5;4;18;9;3;4;2;1;0;0
P1;04/11/2017;Porto;Belenenses;2;0;H;1;0;H;17;6;9;3;12;10;8;3;0;1;0;0
P1;04/11/2017;Tondela;Boavista;3;2;H;0;0;D;15;11;6;4;14;18;3;9;1;2;0;0
P1;05/11/2017;Chaves;Pacos Ferreira;4;2;H;1;1;D;12;12;7;6;10;19;7;4;3;2;0;0
P1;05/11/2017;Feirense;Maritimo;0;1;A;0;1;A;8;6;1;4;15;17;9;4;3;6;0;1
P1;05/11/2017;Guimaraes;Benfica;1;3;A;0;1;A;6;9;1;5;19;22;7;5;0;4;0;0
P1;05/11/2017;Sp Lisbon;Sp Braga;2;2;D;0;0;D;11;8;6;4;15;22;5;9;1;3;0;0
P1;24/11/2017;Belenenses;Chaves;0;1;A;0;1;A;8;8;4;1;17;27;10;4;4;2;1;0
P1;25/11/2017;Aves;Porto;1;1;D;0;1;A;11;8;3;1;17;15;2;4;4;3;0;1
P1;25/11/2017;Boavista;Moreirense;1;0;H;1;0;H;10;6;3;1;14;21;3;6;2;3;0;0
P1;25/11/2017;Portimonense;Tondela;2;0;H;1;0;H;13;8;7;3;16;22;5;5;1;0;0;0
P1;26/11/2017;Benfica;Setubal;6;0;H;2;0;H;17;3;12;2;20;15;12;2;2;2;0;1
P1;26/11/2017;Maritimo;Estoril;0;0;D;0;0;D;2;13;1;4;13;18;2;6;1;2;0;0
P1;26/11/2017;Pacos Ferreira;Sp Lisbon;1;2;A;0;1;A;12;7;5;5;14;16;10;5;5;5;0;0
P1;27/11/2017;Rio Ave;Guimaraes;0;1;A;0;1;A;11;6;4;2;16;21;12;5;0;4;0;0
